2026-01-18 00:14:51.246 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 00:14:51.264 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 00:14:51.277 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 00:15:08.200 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s692ms).
2026-01-18 00:31:03.222 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s22ms).
2026-01-18 00:31:16.357 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 00:31:16.358 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 00:31:16.378 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 00:46:59.102 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s879ms).
2026-01-18 00:59:34.165 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 00:59:34.168 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 00:59:34.191 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 00:59:50.899 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m21s784ms).
2026-01-18 01:15:44.704 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-01-18 01:15:46.681 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s783ms).
2026-01-18 01:16:00.039 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 01:16:00.040 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 01:16:00.053 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 01:32:12.587 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s871ms).
2026-01-18 01:48:02.022 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m49s435ms).
2026-01-18 01:48:15.504 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 01:48:15.504 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 01:48:15.511 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 02:00:39.848 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 02:00:39.852 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 02:00:39.864 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 02:00:56.316 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m24s305ms).
2026-01-18 02:16:52.041 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s724ms).
2026-01-18 02:17:05.654 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 02:17:05.654 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 02:17:05.668 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 02:22:58.560 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 02:22:58.561 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 02:22:58.566 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 02:23:14.907 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5m52s861ms).
2026-01-18 02:39:09.887 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m54s979ms).
2026-01-18 02:39:23.596 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 02:39:23.597 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 02:39:23.605 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 02:39:37.835 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-01-18 02:55:05.746 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s860ms).
2026-01-18 03:01:48.011 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6m12s228ms).
2026-01-18 03:02:01.842 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 03:02:01.842 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 03:02:01.853 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 03:18:13.967 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s949ms).
2026-01-18 03:34:09.771 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s804ms).
2026-01-18 03:34:23.740 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 03:34:23.741 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 03:34:23.748 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 03:50:21.337 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m41s563ms).
2026-01-18 04:02:45.653 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m24s316ms).
2026-01-18 04:02:59.715 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 04:02:59.716 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 04:02:59.724 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 04:19:08.525 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-01-18 04:19:10.640 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m54s985ms).
2026-01-18 04:35:05.634 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m54s993ms).
2026-01-18 04:51:01.415 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s781ms).
2026-01-18 04:51:15.738 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 04:51:15.740 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 04:51:15.749 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 05:03:53.106 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m21s675ms).
2026-01-18 05:19:41.413 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m48s307ms).
2026-01-18 05:19:55.855 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 05:19:55.855 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 05:19:55.861 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 05:36:07.187 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s768ms).
2026-01-18 05:51:57.027 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m49s840ms).
